year,household_size,percentage
2012,1 Person,54.25558174602464
2012,2 Personen,25.379886146066077
2012,3 Personen,10.2390523341847
2012,4 Personen,7.1293640064511266
2012,5 Personen und mehr,2.996115767273453
2013,1 Person,54.368700786154555
2013,2 Personen,24.86009489601348
2013,3 Personen,10.43171984771027
2013,4 Personen,7.276459073718619
2013,5 Personen und mehr,3.0630253964030736
2014,1 Person,54.4402993829333
2014,2 Personen,25.447425842709116
2014,3 Personen,10.138318274040842
2014,4 Personen,7.1359683081851175
2014,5 Personen und mehr,2.8379881921316277
2015,1 Person,54.793743149278285
2015,2 Personen,24.923138244222304
2015,3 Personen,10.08061674115877
2015,4 Personen,7.223911358040894
2015,5 Personen und mehr,2.97859050729974
2016,1 Person,54.746100551146114
2016,2 Personen,24.876022141905114
2016,3 Personen,10.089696329294798
2016,4 Personen,7.307669216267816
2016,5 Personen und mehr,2.9805117613861505
2017,1 Person,54.05783992568327
2017,2 Personen,25.05695985918936
2017,3 Personen,10.308634430156944
2017,4 Personen,7.516745709675843
2017,5 Personen und mehr,3.059820075294578
2018,1 Person,54.047541493763376
2018,2 Personen,24.926529974680538
2018,3 Personen,10.353491627383764
2018,4 Personen,7.57949111639323
2018,5 Personen und mehr,3.0929457877790925
2019,1 Person,53.893455420668055
2019,2 Personen,24.92733849930581
2019,3 Personen,10.39756049520314
2019,4 Personen,7.669571525339047
2019,5 Personen und mehr,3.1120740594839473
2020,1 Person,53.869188129536916
2020,2 Personen,24.906475647720548
2020,3 Personen,10.391088764855454
2020,4 Personen,7.732624601278306
2020,5 Personen und mehr,3.1006228566087746
2021,1 Person,53.75153191050524
2021,2 Personen,25.01888656787293
2021,3 Personen,10.335089684216586
2021,4 Personen,7.786182467029448
2021,5 Personen und mehr,3.108309370375789
2022,1 Person,53.4933775225812
2022,2 Personen,25.377338196672095
2022,3 Personen,10.280619059213434
2022,4 Personen,7.70124506830501
2022,5 Personen und mehr,3.1474201532282655
2023,1 Person,54.00786052369158
2023,2 Personen,25.11388161929597
2023,3 Personen,10.352810640499253
2023,4 Personen,7.719839512357267
2023,5 Personen und mehr,2.805607704155918
2024,1 Person,54.27100056293392
2024,2 Personen,24.920598516912342
2024,3 Personen,10.31304222931102
2024,4 Personen,7.706055825439517
2024,5 Personen und mehr,2.789302865403193
